Sigla;Código;Município;2010;
MG;3100104;Abadia dos Dourados;0,689;
MG;3100203;Abaeté;0,698;
MG;3100302;Abre Campo;0,654;
MG;3100401;Acaiaca;0,63;
MG;3100500;Açucena;0,61;
MG;3100609;Água Boa;0,576;
MG;3100708;Água Comprida;0,675;
MG;3100807;Aguanil;0,663;
MG;3100906;Águas Formosas;0,645;
MG;3101003;Águas Vermelhas;0,601;
MG;3101102;Aimorés;0,684;
MG;3101201;Aiuruoca;0,668;
MG;3101300;Alagoa;0,649;
MG;3101409;Albertina;0,673;
MG;3101508;Além Paraíba;0,726;
MG;3101607;Alfenas;0,761;
MG;3101631;Alfredo Vasconcelos;0,675;
MG;3101706;Almenara;0,642;
MG;3101805;Alpercata;0,646;
MG;3101904;Alpinópolis;0,725;
MG;3102001;Alterosa;0,668;
MG;3102050;Alto Caparaó;0,661;
MG;3102100;Alto Rio Doce;0,62;
MG;3102209;Alvarenga;0,592;
MG;3102308;Alvinópolis;0,676;
MG;3102407;Alvorada de Minas;0,572;
MG;3102506;Amparo do Serra;0,641;
MG;3102605;Andradas;0,734;
MG;3102704;Cachoeira de Pajeú;0,578;
MG;3102803;Andrelândia;0,7;
MG;3102852;Angelândia;0,597;
MG;3102902;Antônio Carlos;0,683;
MG;3103009;Antônio Dias;0,645;
MG;3103108;Antônio Prado de Minas;0,684;
MG;3103207;Araçaí;0,695;
MG;3103306;Aracitaba;0,661;
MG;3103405;Araçuaí;0,663;
MG;3103504;Araguari;0,773;
MG;3103603;Arantina;0,697;
MG;3103702;Araponga;0,536;
MG;3103751;Araporã;0,708;
MG;3103801;Arapuá;0,724;
MG;3103900;Araújos;0,698;
MG;3104007;Araxá;0,772;
MG;3104106;Arceburgo;0,683;
MG;3104205;Arcos;0,749;
MG;3104304;Areado;0,727;
MG;3104403;Argirita;0,643;
MG;3104452;Aricanduva;0,582;
MG;3104502;Arinos;0,656;
MG;3104601;Astolfo Dutra;0,694;
MG;3104700;Ataléia;0,588;
MG;3104809;Augusto de Lima;0,656;
MG;3104908;Baependi;0,681;
MG;3105004;Baldim;0,671;
MG;3105103;Bambuí;0,741;
MG;3105202;Bandeira;0,599;
MG;3105301;Bandeira do Sul;0,692;
MG;3105400;Barão de Cocais;0,722;
MG;3105509;Barão de Monte Alto;0,649;
MG;3105608;Barbacena;0,769;
MG;3105707;Barra Longa;0,624;
MG;3105905;Barroso;0,734;
MG;3106002;Bela Vista de Minas;0,674;
MG;3106101;Belmiro Braga;0,66;
MG;3106200;Belo Horizonte;0,81;
MG;3106309;Belo Oriente;0,686;
MG;3106408;Belo Vale;0,655;
MG;3106507;Berilo;0,628;
MG;3106606;Bertópolis;0,594;
MG;3106655;Berizal;0,604;
MG;3106705;Betim;0,749;
MG;3106804;Bias Fortes;0,62;
MG;3106903;Bicas;0,744;
MG;3107000;Biquinhas;0,688;
MG;3107109;Boa Esperança;0,704;
MG;3107208;Bocaina de Minas;0,645;
MG;3107307;Bocaiúva;0,7;
MG;3107406;Bom Despacho;0,75;
MG;3107505;Bom Jardim de Minas;0,673;
MG;3107604;Bom Jesus da Penha;0,735;
MG;3107703;Bom Jesus do Amparo;0,683;
MG;3107802;Bom Jesus do Galho;0,623;
MG;3107901;Bom Repouso;0,653;
MG;3108008;Bom Sucesso;0,692;
MG;3108107;Bonfim;0,637;
MG;3108206;Bonfinópolis de Minas;0,678;
MG;3108255;Bonito de Minas;0,537;
MG;3108305;Borda da Mata;0,73;
MG;3108404;Botelhos;0,702;
MG;3108503;Botumirim;0,602;
MG;3108552;Brasilândia de Minas;0,674;
MG;3108602;Brasília de Minas;0,656;
MG;3108701;Brás Pires;0,625;
MG;3108800;Braúnas;0,624;
MG;3108909;Brasópolis;0,692;
MG;3109006;Brumadinho;0,747;
MG;3109105;Bueno Brandão;0,658;
MG;3109204;Buenópolis;0,669;
MG;3109253;Bugre;0,627;
MG;3109303;Buritis;0,672;
MG;3109402;Buritizeiro;0,624;
MG;3109451;Cabeceira Grande;0,648;
MG;3109501;Cabo Verde;0,674;
MG;3109600;Cachoeira da Prata;0,741;
MG;3109709;Cachoeira de Minas;0,706;
MG;3109808;Cachoeira Dourada;0,726;
MG;3109907;Caetanópolis;0,706;
MG;3110004;Caeté;0,728;
MG;3110103;Caiana;0,633;
MG;3110202;Cajuri;0,617;
MG;3110301;Caldas;0,687;
MG;3110400;Camacho;0,69;
MG;3110509;Camanducaia;0,689;
MG;3110608;Cambuí;0,751;
MG;3110707;Cambuquira;0,699;
MG;3110806;Campanário;0,616;
MG;3110905;Campanha;0,709;
MG;3111002;Campestre;0,698;
MG;3111101;Campina Verde;0,704;
MG;3111150;Campo Azul;0,621;
