Sigla;Código;Município;taxa;
MG;3100104;Abadia dos Dourados;6,48;
MG;3100203;Abaeté;6,29000000000001;
MG;3100302;Abre Campo;7,14;
MG;3100401;Acaiaca;10,1;
MG;3100500;Açucena;14,81;
MG;3100609;Água Boa;22,4;
MG;3100708;Água Comprida;6,79000000000001;
MG;3100807;Aguanil;7,81;
MG;3100906;Águas Formosas;16,68;
MG;3101003;Águas Vermelhas;18,57;
MG;3101102;Aimorés;9,95999999999999;
MG;3101201;Aiuruoca;9,11;
MG;3101300;Alagoa;9,5;
MG;3101409;Albertina;9,20999999999999;
MG;3101508;Além Paraíba;5,06;
MG;3101607;Alfenas;4,22;
MG;3101631;Alfredo Vasconcelos;5,72;
MG;3101706;Almenara;16,39;
MG;3101805;Alpercata;13,08;
MG;3101904;Alpinópolis;5,56999999999999;
MG;3102001;Alterosa;6,19;
MG;3102050;Alto Caparaó;9;
MG;3102100;Alto Rio Doce;10,14;
MG;3102209;Alvarenga;15,77;
MG;3102308;Alvinópolis;7,04000000000001;
MG;3102407;Alvorada de Minas;13,04;
MG;3102506;Amparo do Serra;12,01;
MG;3102605;Andradas;6,23999999999999;
MG;3102704;Cachoeira de Pajeú;17,27;
MG;3102803;Andrelândia;8,16;
MG;3102852;Angelândia;18,65;
MG;3102902;Antônio Carlos;7,69;
MG;3103009;Antônio Dias;9,72;
MG;3103108;Antônio Prado de Minas;8,18000000000001;
MG;3103207;Araçaí;6,81;
MG;3103306;Aracitaba;11,69;
MG;3103405;Araçuaí;12,18;
MG;3103504;Araguari;3,66;
MG;3103603;Arantina;6,73999999999999;
MG;3103702;Araponga;13,27;
MG;3103751;Araporã;5,29000000000001;
MG;3103801;Arapuá;6,84;
MG;3103900;Araújos;5,38;
MG;3104007;Araxá;3,20999999999999;
MG;3104106;Arceburgo;7,45;
MG;3104205;Arcos;3,34;
MG;3104304;Areado;5,45999999999999;
MG;3104403;Argirita;7,08;
MG;3104452;Aricanduva;15,82;
MG;3104502;Arinos;10,49;
MG;3104601;Astolfo Dutra;5,20999999999999;
MG;3104700;Ataléia;19,99;
MG;3104809;Augusto de Lima;9,78;
MG;3104908;Baependi;7,93000000000001;
MG;3105004;Baldim;7,62;
MG;3105103;Bambuí;5,77;
MG;3105202;Bandeira;21,41;
MG;3105301;Bandeira do Sul;7,81;
MG;3105400;Barão de Cocais;4,29000000000001;
MG;3105509;Barão de Monte Alto;11,8;
MG;3105608;Barbacena;3,83;
MG;3105707;Barra Longa;12,56;
MG;3105905;Barroso;4,48;
MG;3106002;Bela Vista de Minas;4,73999999999999;
MG;3106101;Belmiro Braga;10,79;
MG;3106200;Belo Horizonte;2,22;
MG;3106309;Belo Oriente;7,75;
MG;3106408;Belo Vale;5,65000000000001;
MG;3106507;Berilo;16,47;
MG;3106606;Bertópolis;22,57;
MG;3106655;Berizal;17,42;
MG;3106705;Betim;3,62;
MG;3106804;Bias Fortes;11,61;
MG;3106903;Bicas;4,25;
MG;3107000;Biquinhas;9,36;
MG;3107109;Boa Esperança;4,89;
MG;3107208;Bocaina de Minas;11,16;
MG;3107307;Bocaiúva;8,06;
MG;3107406;Bom Despacho;4,22;
MG;3107505;Bom Jardim de Minas;8,27;
MG;3107604;Bom Jesus da Penha;7,73;
MG;3107703;Bom Jesus do Amparo;5,38;
MG;3107802;Bom Jesus do Galho;14,28;
MG;3107901;Bom Repouso;7,17;
MG;3108008;Bom Sucesso;8,94;
MG;3108107;Bonfim;7,15000000000001;
MG;3108206;Bonfinópolis de Minas;9,26000000000001;
MG;3108255;Bonito de Minas;17,47;
MG;3108305;Borda da Mata;4,93000000000001;
MG;3108404;Botelhos;6,72;
MG;3108503;Botumirim;13,33;
MG;3108552;Brasilândia de Minas;7,23;
MG;3108602;Brasília de Minas;11,01;
MG;3108701;Brás Pires;8,53;
MG;3108800;Braúnas;10,81;
MG;3108909;Brasópolis;7,18000000000001;
MG;3109006;Brumadinho;4,12;
MG;3109105;Bueno Brandão;7,42;
MG;3109204;Buenópolis;11,87;
MG;3109253;Bugre;14,91;
MG;3109303;Buritis;9,93000000000001;
MG;3109402;Buritizeiro;11,26;
MG;3109451;Cabeceira Grande;9,7;
MG;3109501;Cabo Verde;7,90000000000001;
MG;3109600;Cachoeira da Prata;3,01000000000001;
MG;3109709;Cachoeira de Minas;6,34;
MG;3109808;Cachoeira Dourada;7,34999999999999;
MG;3109907;Caetanópolis;4,65000000000001;
MG;3110004;Caeté;3,55;
MG;3110103;Caiana;8,64;
MG;3110202;Cajuri;8,90000000000001;
MG;3110301;Caldas;6;
MG;3110400;Camacho;12,97;
MG;3110509;Camanducaia;7,02;
MG;3110608;Cambuí;5,20999999999999;
MG;3110707;Cambuquira;7,89;
MG;3110806;Campanário;16,54;
MG;3110905;Campanha;5,48999999999999;
MG;3111002;Campestre;6,20999999999999;
MG;3111101;Campina Verde;7,03;
MG;3111150;Campo Azul;15,98;
MG;3111200;Campo Belo;5,75;
MG;3111309;Campo do Meio;6,73999999999999;
MG;3111408;Campo Florido;7,48999999999999;
MG;3111507;Campos Altos;8,43000000000001;
MG;3111606;Campos Gerais;8,58;
MG;3111705;Canaã;11,65;
MG;3111804;Canápolis;7,98;
MG;3111903;Cana Verde;9,29000000000001;
MG;3112000;Candeias;10,31;
MG;3112059;Cantagalo;12,21;
MG;3112109;Caparaó;9,59;
MG;3112208;Capela Nova;8,48;
MG;3112307;Capelinha;12,5;
MG;3112406;Capetinga;7,91;
MG;3112505;Capim Branco;4,95999999999999;
MG;3112604;Capinópolis;9,20999999999999;
MG;3112653;Capitão Andrade;14,51;
MG;3112703;Capitão Enéas;13,07;
MG;3112802;Capitólio;2,87;
MG;3112901;Caputira;10,25;
MG;3113008;Caraí;19,45;
MG;3113107;Caranaíba;7,78;
MG;3113206;Carandaí;4,53;
MG;3113305;Carangola;6,84;
MG;3113404;Caratinga;6,48999999999999;
MG;3113503;Carbonita;13,48;
MG;3113602;Careaçu;6,84999999999999;
MG;3113701;Carlos Chagas;16,3;
MG;3113800;Carmésia;10,94;
MG;3113909;Carmo da Cachoeira;8;
MG;3114006;Carmo da Mata;5,22;
MG;3114105;Carmo de Minas;7,76000000000001;
MG;3114204;Carmo do Cajuru;4,77;
MG;3114303;Carmo do Paranaíba;5,51000000000001;
MG;3114402;Carmo do Rio Claro;5,89;
MG;3114501;Carmópolis de Minas;5,11;
MG;3114550;Carneirinho;9,3;
MG;3114600;Carrancas;5,52;
MG;3114709;Carvalhópolis;6,84999999999999;
MG;3114808;Carvalhos;10,64;
MG;3114907;Casa Grande;5,17;
MG;3115003;Cascalho Rico;3,43000000000001;
MG;3115102;Cássia;7,11;
MG;3115201;Conceição da Barra de Minas;6,98;
MG;3115300;Cataguases;3,97;
MG;3115359;Catas Altas;7,76000000000001;
MG;3115409;Catas Altas da Noruega;9,39;
MG;3115458;Catuji;18,66;
MG;3115474;Catuti;22,03;
MG;3115508;Caxambu;4,45;
MG;3115607;Cedro do Abaeté;11,42;
MG;3115706;Central de Minas;15,77;
MG;3115805;Centralina;8,51000000000001;
MG;3115904;Chácara;9,26000000000001;
MG;3116001;Chalé;9,91;
MG;3116100;Chapada do Norte;22,86;
MG;3116159;Chapada Gaúcha;12,18;
MG;3116209;Chiador;5,78;
MG;3116308;Cipotânea;11,07;
MG;3116407;Claraval;6,34999999999999;
MG;3116506;Claro dos Poções;12,8;
MG;3116605;Cláudio;3,73999999999999;
MG;3116704;Coimbra;7,17;
MG;3116803;Coluna;15,84;
MG;3116902;Comendador Gomes;9,87;
MG;3117009;Comercinho;21,22;
MG;3117108;Conceição da Aparecida;5,73999999999999;
MG;3117207;Conceição das Pedras;7,64;
MG;3117306;Conceição das Alagoas;6,42;
MG;3117405;Conceição de Ipanema;12,19;
MG;3117504;Conceição do Mato Dentro;9,34;
MG;3117603;Conceição do Pará;6,95999999999999;
MG;3117702;Conceição do Rio Verde;9,14;
MG;3117801;Conceição dos Ouros;5,64;
MG;3117836;Cônego Marinho;16,05;
MG;3117876;Confins;3,91;
MG;3117900;Congonhal;6,81;
MG;3118007;Congonhas;3,2;
MG;3118106;Congonhas do Norte;15,03;
MG;3118205;Conquista;7,3;
MG;3118304;Conselheiro Lafaiete;2,73;
MG;3118403;Conselheiro Pena;10,7;
MG;3118502;Consolação;10,76;
MG;3118601;Contagem;2,70999999999999;
MG;3118700;Coqueiral;5,98;
MG;3118809;Coração de Jesus;13;
MG;3118908;Cordisburgo;7,98;
MG;3119005;Cordislândia;9,70999999999999;
MG;3119104;Corinto;8,16;
MG;3119203;Coroaci;9,5;
MG;3119302;Coromandel;5,91;
MG;3119401;Coronel Fabriciano;4,33;
MG;3119500;Coronel Murta;15,4;
MG;3119609;Coronel Pacheco;6,06999999999999;
MG;3119708;Coronel Xavier Chaves;4,36;
MG;3119807;Córrego Danta;7,95999999999999;
MG;3119906;Córrego do Bom Jesus;6,73;
MG;3119955;Córrego Fundo;7,91;
MG;3120003;Córrego Novo;14,83;
MG;3120102;Couto de Magalhães de Minas;9,98;
MG;3120151;Crisólita;23,52;
MG;3120201;Cristais;6,67;
MG;3120300;Cristália;12,8;
MG;3120409;Cristiano Otoni;4,97;
MG;3120508;Cristina;6,16;
MG;3120607;Crucilândia;9,25;
MG;3120706;Cruzeiro da Fortaleza;5,84999999999999;
MG;3120805;Cruzília;7,02;
MG;3120839;Cuparaque;14,29;
MG;3120870;Curral de Dentro;17,34;
MG;3120904;Curvelo;5,2;
MG;3121001;Datas;7,65000000000001;
MG;3121100;Delfim Moreira;5,98999999999999;
MG;3121209;Delfinópolis;7,5;
MG;3121258;Delta;8,97;
MG;3121308;Descoberto;7,78;
MG;3121407;Desterro de Entre Rios;9,42;
MG;3121506;Desterro do Melo;10,62;
MG;3121605;Diamantina;6,5;
MG;3121704;Diogo de Vasconcelos;16,97;
MG;3121803;Dionísio;9,06999999999999;
MG;3121902;Divinésia;6,59;
MG;3122009;Divino;11,42;
MG;3122108;Divino das Laranjeiras;14,25;
MG;3122207;Divinolândia de Minas;10,8;
MG;3122306;Divinópolis;2,87;
MG;3122355;Divisa Alegre;16,53;
MG;3122405;Divisa Nova;8,84999999999999;
MG;3122454;Divisópolis;18,93;
MG;3122470;Dom Bosco;8,51000000000001;
MG;3122504;Dom Cavati;9,20999999999999;
MG;3122603;Dom Joaquim;11,03;
MG;3122702;Dom Silvério;6,92;
MG;3122801;Dom Viçoso;6,86;
MG;3122900;Dona Eusébia;6,59;
MG;3123007;Dores de Campos;4,77;
MG;3123106;Dores de Guanhães;14,32;
MG;3123205;Dores do Indaiá;8,15000000000001;
MG;3123304;Dores do Turvo;10,5;
MG;3123403;Doresópolis;5,84999999999999;
MG;3123502;Douradoquara;6,31;
MG;3123528;Durandé;11,5;
MG;3123601;Elói Mendes;7,64;
MG;3123700;Engenheiro Caldas;12,1;
MG;3123809;Engenheiro Navarro;14,22;
MG;3123858;Entre Folhas;10,97;
MG;3123908;Entre Rios de Minas;6,19;
MG;3124005;Ervália;11,24;
MG;3124104;Esmeraldas;5,16;
MG;3124203;Espera Feliz;9,29000000000001;
MG;3124302;Espinosa;17,57;
MG;3124401;Espírito Santo do Dourado;8,54000000000001;
MG;3124500;Estiva;8,58;
MG;3124609;Estrela Dalva;11,17;
MG;3124708;Estrela do Indaiá;8,84;
