Sigla;Código;Município;2022;
MG;3100104;Abadia dos Dourados;6,25;
MG;3100203;Abaeté;5,83;
MG;3100302;Abre Campo;6,98;
MG;3100401;Acaiaca;9,79000000000001;
MG;3100500;Açucena;15,54;
MG;3100609;Água Boa;22,4;
MG;3100708;Água Comprida;6,59;
MG;3100807;Aguanil;7,76000000000001;
MG;3100906;Águas Formosas;17,49;
MG;3101003;Águas Vermelhas;18,03;
MG;3101102;Aimorés;9,92;
MG;3101201;Aiuruoca;9,18000000000001;
MG;3101300;Alagoa;8,19;
MG;3101409;Albertina;9,11;
MG;3101508;Além Paraíba;5,01000000000001;
MG;3101607;Alfenas;4,17;
MG;3101631;Alfredo Vasconcelos;5,88;
MG;3101706;Almenara;15,7;
MG;3101805;Alpercata;12,79;
MG;3101904;Alpinópolis;4,95;
MG;3102001;Alterosa;5,92;
MG;3102050;Alto Caparaó;7,89;
MG;3102100;Alto Rio Doce;8,91;
MG;3102209;Alvarenga;14,46;
MG;3102308;Alvinópolis;6,88;
MG;3102407;Alvorada de Minas;12,59;
MG;3102506;Amparo do Serra;11,57;
MG;3102605;Andradas;6,09;
MG;3102704;Cachoeira de Pajeú;16,23;
MG;3102803;Andrelândia;7,97;
MG;3102852;Angelândia;20,04;
MG;3102902;Antônio Carlos;7,77;
MG;3103009;Antônio Dias;10,42;
MG;3103108;Antônio Prado de Minas;7,67;
MG;3103207;Araçaí;6,15000000000001;
MG;3103306;Aracitaba;11,38;
MG;3103405;Araçuaí;11,45;
MG;3103504;Araguari;3,47;
MG;3103603;Arantina;6,97;
MG;3103702;Araponga;12,83;
MG;3103751;Araporã;4,77;
MG;3103801;Arapuá;7,19;
MG;3103900;Araújos;4,84;
MG;3104007;Araxá;3,13;
MG;3104106;Arceburgo;7,81;
MG;3104205;Arcos;3,45999999999999;
MG;3104304;Areado;5,61;
MG;3104403;Argirita;6,72;
MG;3104452;Aricanduva;15,87;
MG;3104502;Arinos;9,97;
MG;3104601;Astolfo Dutra;4,67;
MG;3104700;Ataléia;20,69;
MG;3104809;Augusto de Lima;9,51000000000001;
MG;3104908;Baependi;7,03;
MG;3105004;Baldim;7,62;
MG;3105103;Bambuí;5,67;
MG;3105202;Bandeira;20,51;
MG;3105301;Bandeira do Sul;7,86;
MG;3105400;Barão de Cocais;4,61;
MG;3105509;Barão de Monte Alto;10,67;
MG;3105608;Barbacena;3,93000000000001;
MG;3105707;Barra Longa;12,15;
MG;3105905;Barroso;4,98999999999999;
MG;3106002;Bela Vista de Minas;5,34;
MG;3106101;Belmiro Braga;10,01;
MG;3106200;Belo Horizonte;2,5;
MG;3106309;Belo Oriente;8,25;
MG;3106408;Belo Vale;5,95;
MG;3106507;Berilo;16,41;
MG;3106606;Bertópolis;22,05;
MG;3106655;Berizal;17,63;
MG;3106705;Betim;4,04000000000001;
MG;3106804;Bias Fortes;10,84;
MG;3106903;Bicas;4,27;
MG;3107000;Biquinhas;8,95;
MG;3107109;Boa Esperança;4,93000000000001;
MG;3107208;Bocaina de Minas;9,67;
MG;3107307;Bocaiúva;7,69;
MG;3107406;Bom Despacho;3,97;
MG;3107505;Bom Jardim de Minas;7,84;
MG;3107604;Bom Jesus da Penha;7,63;
MG;3107703;Bom Jesus do Amparo;6,37;
MG;3107802;Bom Jesus do Galho;13,96;
MG;3107901;Bom Repouso;6,72;
MG;3108008;Bom Sucesso;9,62;
MG;3108107;Bonfim;6,39;
MG;3108206;Bonfinópolis de Minas;9,01000000000001;
MG;3108255;Bonito de Minas;16,41;
MG;3108305;Borda da Mata;4,95999999999999;
MG;3108404;Botelhos;6,54000000000001;
MG;3108503;Botumirim;12,18;
MG;3108552;Brasilândia de Minas;7,14;
MG;3108602;Brasília de Minas;10,58;
MG;3108701;Brás Pires;8,16;
MG;3108800;Braúnas;10,78;
MG;3108909;Brasópolis;7,56999999999999;
MG;3109006;Brumadinho;4,06;
MG;3109105;Bueno Brandão;7,54000000000001;
MG;3109204;Buenópolis;10,35;
MG;3109253;Bugre;14,59;
MG;3109303;Buritis;9,13;
MG;3109402;Buritizeiro;10,9;
MG;3109451;Cabeceira Grande;8,39;
MG;3109501;Cabo Verde;7,64;
