Sigla;Código;Município;esperança_vida;
MG;3100104;Abadia dos Dourados;75,35;
MG;3100203;Abaeté;75,9;
MG;3100302;Abre Campo;74,36;
MG;3100401;Acaiaca;74,36;
MG;3100500;Açucena;75,66;
MG;3100609;Água Boa;72,94;
MG;3100708;Água Comprida;76,58;
MG;3100807;Aguanil;75,7;
MG;3100906;Águas Formosas;73,63;
MG;3101003;Águas Vermelhas;73,46;
MG;3101102;Aimorés;73,58;
MG;3101201;Aiuruoca;77,23;
MG;3101300;Alagoa;74,93;
MG;3101409;Albertina;73,76;
MG;3101508;Além Paraíba;76,43;
MG;3101607;Alfenas;75,45;
MG;3101631;Alfredo Vasconcelos;75,01;
MG;3101706;Almenara;73,18;
MG;3101805;Alpercata;74,43;
MG;3101904;Alpinópolis;76,71;
MG;3102001;Alterosa;75,83;
MG;3102050;Alto Caparaó;75,54;
MG;3102100;Alto Rio Doce;74,7;
MG;3102209;Alvarenga;72,85;
MG;3102308;Alvinópolis;74,34;
MG;3102407;Alvorada de Minas;72,65;
MG;3102506;Amparo do Serra;73,63;
MG;3102605;Andradas;77,69;
MG;3102704;Cachoeira de Pajeú;71,25;
MG;3102803;Andrelândia;74,06;
MG;3102852;Angelândia;70,36;
MG;3102902;Antônio Carlos;75,3;
MG;3103009;Antônio Dias;75,93;
MG;3103108;Antônio Prado de Minas;74,79;
MG;3103207;Araçaí;73,28;
MG;3103306;Aracitaba;74,37;
MG;3103405;Araçuaí;74,27;
MG;3103504;Araguari;77,28;
MG;3103603;Arantina;75,05;
MG;3103702;Araponga;70,6;
MG;3103751;Araporã;73,78;
MG;3103801;Arapuá;77,27;
MG;3103900;Araújos;76,27;
MG;3104007;Araxá;76,49;
MG;3104106;Arceburgo;73,61;
MG;3104205;Arcos;77,43;
MG;3104304;Areado;75,84;
MG;3104403;Argirita;74;
MG;3104452;Aricanduva;72,22;
MG;3104502;Arinos;73,88;
MG;3104601;Astolfo Dutra;76,5;
MG;3104700;Ataléia;73,77;
MG;3104809;Augusto de Lima;73,9;
MG;3104908;Baependi;74,97;
MG;3105004;Baldim;72,21;
MG;3105103;Bambuí;77,2;
MG;3105202;Bandeira;73,64;
MG;3105301;Bandeira do Sul;73,14;
MG;3105400;Barão de Cocais;76,46;
MG;3105509;Barão de Monte Alto;74,64;
MG;3105608;Barbacena;77,88;
MG;3105707;Barra Longa;74,36;
MG;3105905;Barroso;76,84;
MG;3106002;Bela Vista de Minas;72,72;
MG;3106101;Belmiro Braga;74,81;
MG;3106200;Belo Horizonte;76,37;
MG;3106309;Belo Oriente;73,77;
MG;3106408;Belo Vale;73,86;
MG;3106507;Berilo;73,97;
MG;3106606;Bertópolis;72,96;
MG;3106655;Berizal;70,41;
MG;3106705;Betim;76,82;
MG;3106804;Bias Fortes;72,75;
MG;3106903;Bicas;75,99;
MG;3107000;Biquinhas;76,4;
MG;3107109;Boa Esperança;76,28;
MG;3107208;Bocaina de Minas;75,87;
MG;3107307;Bocaiúva;74,29;
MG;3107406;Bom Despacho;76,66;
MG;3107505;Bom Jardim de Minas;74,34;
MG;3107604;Bom Jesus da Penha;76,74;
MG;3107703;Bom Jesus do Amparo;75,01;
MG;3107802;Bom Jesus do Galho;73,01;
MG;3107901;Bom Repouso;74,25;
MG;3108008;Bom Sucesso;73,49;
MG;3108107;Bonfim;75,01;
MG;3108206;Bonfinópolis de Minas;72,73;
MG;3108255;Bonito de Minas;71,57;
MG;3108305;Borda da Mata;76,92;
MG;3108404;Botelhos;77,07;
MG;3108503;Botumirim;71,94;
MG;3108552;Brasilândia de Minas;75,87;
MG;3108602;Brasília de Minas;73,78;
MG;3108701;Brás Pires;73,03;
MG;3108800;Braúnas;73,1;
MG;3108909;Brasópolis;75,45;
MG;3109006;Brumadinho;76,39;
MG;3109105;Bueno Brandão;75,9;
MG;3109204;Buenópolis;72,74;
MG;3109253;Bugre;73,01;
MG;3109303;Buritis;73,88;
MG;3109402;Buritizeiro;71,06;
MG;3109451;Cabeceira Grande;72,25;
MG;3109501;Cabo Verde;75,82;
MG;3109600;Cachoeira da Prata;75,02;
