Sigla;Código;Município;2022;
MG;3100104;Abadia dos Dourados;6272;
MG;3100203;Abaeté;22675;
MG;3100302;Abre Campo;13927;
MG;3100401;Acaiaca;3909;
MG;3100500;Açucena;8943;
MG;3100609;Água Boa;12589;
MG;3100708;Água Comprida;2108;
MG;3100807;Aguanil;4357;
MG;3100906;Águas Formosas;18448;
MG;3101003;Águas Vermelhas;14037;
MG;3101102;Aimorés;25269;
MG;3101201;Aiuruoca;6233;
MG;3101300;Alagoa;2749;
MG;3101409;Albertina;2952;
MG;3101508;Além Paraíba;30717;
MG;3101607;Alfenas;78970;
MG;3101631;Alfredo Vasconcelos;6931;
MG;3101706;Almenara;40364;
MG;3101805;Alpercata;6903;
MG;3101904;Alpinópolis;18300;
MG;3102001;Alterosa;13915;
MG;3102050;Alto Caparaó;5795;
MG;3102100;Alto Rio Doce;10891;
MG;3102209;Alvarenga;3975;
MG;3102308;Alvinópolis;15059;
MG;3102407;Alvorada de Minas;4159;
MG;3102506;Amparo do Serra;4541;
MG;3102605;Andradas;40553;
MG;3102704;Cachoeira de Pajeú;9110;
MG;3102803;Andrelândia;11927;
MG;3102852;Angelândia;7718;
MG;3102902;Antônio Carlos;11095;
MG;3103009;Antônio Dias;9219;
MG;3103108;Antônio Prado de Minas;1538;
MG;3103207;Araçaí;2181;
MG;3103306;Aracitaba;2049;
MG;3103405;Araçuaí;34297;
MG;3103504;Araguari;117808;
MG;3103603;Arantina;2915;
MG;3103702;Araponga;8048;
MG;3103751;Araporã;8479;
MG;3103801;Arapuá;2631;
MG;3103900;Araújos;9199;
MG;3104007;Araxá;111691;
MG;3104106;Arceburgo;9177;
MG;3104205;Arcos;41416;
MG;3104304;Areado;13881;
MG;3104403;Argirita;2688;
MG;3104452;Aricanduva;4719;
MG;3104502;Arinos;17272;
MG;3104601;Astolfo Dutra;14138;
MG;3104700;Ataléia;13736;
MG;3104809;Augusto de Lima;4538;
MG;3104908;Baependi;18366;
MG;3105004;Baldim;7492;
MG;3105103;Bambuí;23546;
MG;3105202;Bandeira;4741;
MG;3105301;Bandeira do Sul;5943;
MG;3105400;Barão de Cocais;30778;
MG;3105509;Barão de Monte Alto;4964;
MG;3105608;Barbacena;125317;
MG;3105707;Barra Longa;5666;
MG;3105905;Barroso;20080;
MG;3106002;Bela Vista de Minas;10167;
MG;3106101;Belmiro Braga;3244;
MG;3106200;Belo Horizonte;2315560;
MG;3106309;Belo Oriente;23928;
MG;3106408;Belo Vale;8627;
MG;3106507;Berilo;9826;
MG;3106606;Bertópolis;4451;
MG;3106655;Berizal;4201;
MG;3106705;Betim;411846;
MG;3106804;Bias Fortes;3361;
MG;3106903;Bicas;13978;
MG;3107000;Biquinhas;2383;
MG;3107109;Boa Esperança;39848;
MG;3107208;Bocaina de Minas;5348;
MG;3107307;Bocaiúva;48032;
MG;3107406;Bom Despacho;51737;
MG;3107505;Bom Jardim de Minas;6783;
MG;3107604;Bom Jesus da Penha;4474;
MG;3107703;Bom Jesus do Amparo;5631;
MG;3107802;Bom Jesus do Galho;14536;
MG;3107901;Bom Repouso;12649;
MG;3108008;Bom Sucesso;17151;
MG;3108107;Bonfim;7434;
MG;3108206;Bonfinópolis de Minas;5528;
MG;3108255;Bonito de Minas;10204;
MG;3108305;Borda da Mata;17404;
MG;3108404;Botelhos;14828;
MG;3108503;Botumirim;5790;
MG;3108552;Brasilândia de Minas;15020;
MG;3108602;Brasília de Minas;32025;
MG;3108701;Brás Pires;4260;
MG;3108800;Braúnas;4441;
MG;3108909;Brasópolis;14246;
MG;3109006;Brumadinho;38915;
MG;3109105;Bueno Brandão;10911;
MG;3109204;Buenópolis;9150;
MG;3109253;Bugre;4041;
MG;3109303;Buritis;24030;
MG;3109402;Buritizeiro;23910;
MG;3109451;Cabeceira Grande;6627;
