Sigla;Código;Município;2010;
MG;3100104;Abadia dos Dourados;596,18;
MG;3100203;Abaeté;707,24;
MG;3100302;Abre Campo;444,32;
MG;3100401;Acaiaca;357,03;
MG;3100500;Açucena;325,42;
MG;3100609;Água Boa;322,12;
MG;3100708;Água Comprida;701,19;
MG;3100807;Aguanil;524,43;
MG;3100906;Águas Formosas;389,57;
MG;3101003;Águas Vermelhas;306,97;
MG;3101102;Aimorés;567,46;
MG;3101201;Aiuruoca;539,92;
MG;3101300;Alagoa;413,75;
MG;3101409;Albertina;564,08;
MG;3101508;Além Paraíba;674,5;
MG;3101607;Alfenas;783,41;
MG;3101631;Alfredo Vasconcelos;400,14;
MG;3101706;Almenara;419,98;
MG;3101805;Alpercata;401,21;
MG;3101904;Alpinópolis;633,91;
MG;3102001;Alterosa;475,99;
MG;3102050;Alto Caparaó;505,1;
MG;3102100;Alto Rio Doce;323,95;
MG;3102209;Alvarenga;312,46;
MG;3102308;Alvinópolis;460,96;
MG;3102407;Alvorada de Minas;277,99;
MG;3102506;Amparo do Serra;368,72;
MG;3102605;Andradas;754,39;
MG;3102704;Cachoeira de Pajeú;265,27;
MG;3102803;Andrelândia;534,68;
MG;3102852;Angelândia;322,8;
MG;3102902;Antônio Carlos;457,02;
MG;3103009;Antônio Dias;387,61;
MG;3103108;Antônio Prado de Minas;529,54;
MG;3103207;Araçaí;482,4;
MG;3103306;Aracitaba;351,6;
MG;3103405;Araçuaí;410,67;
MG;3103504;Araguari;798,63;
MG;3103603;Arantina;411,16;
MG;3103702;Araponga;328,75;
MG;3103751;Araporã;536,04;
MG;3103801;Arapuá;696,47;
MG;3103900;Araújos;599,3;
MG;3104007;Araxá;883,88;
MG;3104106;Arceburgo;576,68;
MG;3104205;Arcos;691,16;
MG;3104304;Areado;622,83;
MG;3104403;Argirita;442,45;
MG;3104452;Aricanduva;249,75;
MG;3104502;Arinos;349,52;
MG;3104601;Astolfo Dutra;572,06;
MG;3104700;Ataléia;317,64;
MG;3104809;Augusto de Lima;384,1;
MG;3104908;Baependi;497,21;
MG;3105004;Baldim;458,08;
MG;3105103;Bambuí;777,46;
MG;3105202;Bandeira;302;
MG;3105301;Bandeira do Sul;554,52;
MG;3105400;Barão de Cocais;546,85;
MG;3105509;Barão de Monte Alto;377,1;
MG;3105608;Barbacena;854,27;
MG;3105707;Barra Longa;362,62;
MG;3105905;Barroso;535,1;
MG;3106002;Bela Vista de Minas;440,23;
MG;3106101;Belmiro Braga;464,5;
MG;3106200;Belo Horizonte;1497,29;
MG;3106309;Belo Oriente;470,05;
MG;3106408;Belo Vale;524,03;
MG;3106507;Berilo;295,62;
MG;3106606;Bertópolis;288,77;
MG;3106655;Berizal;261,24;
MG;3106705;Betim;660,56;
MG;3106804;Bias Fortes;344,35;
MG;3106903;Bicas;735;
MG;3107000;Biquinhas;565,37;
MG;3107109;Boa Esperança;599,17;
MG;3107208;Bocaina de Minas;501,73;
MG;3107307;Bocaiúva;451,54;
MG;3107406;Bom Despacho;809,9;
MG;3107505;Bom Jardim de Minas;464,99;
MG;3107604;Bom Jesus da Penha;607,73;
MG;3107703;Bom Jesus do Amparo;472,21;
MG;3107802;Bom Jesus do Galho;368;
MG;3107901;Bom Repouso;447,85;
MG;3108008;Bom Sucesso;551,39;
MG;3108107;Bonfim;512,94;
MG;3108206;Bonfinópolis de Minas;472,15;
MG;3108255;Bonito de Minas;195,65;
MG;3108305;Borda da Mata;635,37;
MG;3108404;Botelhos;630,12;
MG;3108503;Botumirim;230,25;
MG;3108552;Brasilândia de Minas;444,35;
MG;3108602;Brasília de Minas;360,93;
MG;3108701;Brás Pires;299,02;
MG;3108800;Braúnas;416,84;
MG;3108909;Brasópolis;613,88;
MG;3109006;Brumadinho;910,31;
MG;3109105;Bueno Brandão;491,08;
MG;3109204;Buenópolis;456,55;
MG;3109253;Bugre;338,39;
MG;3109303;Buritis;505,59;
MG;3109402;Buritizeiro;340,72;
MG;3109451;Cabeceira Grande;424,47;
MG;3109501;Cabo Verde;571,6;
MG;3109600;Cachoeira da Prata;583,28;
MG;3109709;Cachoeira de Minas;527,44;
MG;3109808;Cachoeira Dourada;606,15;
MG;3109907;Caetanópolis;531,65;
MG;3110004;Caeté;586,16;
MG;3110103;Caiana;406,23;
MG;3110202;Cajuri;333,45;
MG;3110301;Caldas;627,21;
MG;3110400;Camacho;425,8;
MG;3110509;Camanducaia;649,49;
MG;3110608;Cambuí;712,9;
MG;3110707;Cambuquira;588,83;
MG;3110806;Campanário;350,46;
MG;3110905;Campanha;686,16;
MG;3111002;Campestre;669,87;
MG;3111101;Campina Verde;681,73;
MG;3111150;Campo Azul;244,97;
MG;3111200;Campo Belo;646,71;
MG;3111309;Campo do Meio;472,71;
MG;3111408;Campo Florido;774,88;
MG;3111507;Campos Altos;587,21;
MG;3111606;Campos Gerais;503,91;
MG;3111705;Canaã;439,71;
MG;3111804;Canápolis;711,27;
MG;3111903;Cana Verde;463,1;
MG;3112000;Candeias;621,22;
MG;3112059;Cantagalo;329,9;
MG;3112109;Caparaó;364,52;
MG;3112208;Capela Nova;338,43;
MG;3112307;Capelinha;432,55;
MG;3112406;Capetinga;549,97;
MG;3112505;Capim Branco;497,48;
MG;3112604;Capinópolis;834,14;
MG;3112653;Capitão Andrade;403,35;
MG;3112703;Capitão Enéas;282,97;
MG;3112802;Capitólio;658,77;
MG;3112901;Caputira;353,65;
MG;3113008;Caraí;244,29;
MG;3113107;Caranaíba;319,88;
MG;3113206;Carandaí;495,09;
MG;3113305;Carangola;618,24;
MG;3113404;Caratinga;610,29;
MG;3113503;Carbonita;373,05;
MG;3113602;Careaçu;504,96;
MG;3113701;Carlos Chagas;432,37;
MG;3113800;Carmésia;404,76;
MG;3113909;Carmo da Cachoeira;525,35;
MG;3114006;Carmo da Mata;551,21;
MG;3114105;Carmo de Minas;511,95;
MG;3114204;Carmo do Cajuru;606,19;
MG;3114303;Carmo do Paranaíba;678,13;
MG;3114402;Carmo do Rio Claro;685,17;
MG;3114501;Carmópolis de Minas;599,63;
MG;3114550;Carneirinho;847,07;
MG;3114600;Carrancas;576,62;
MG;3114709;Carvalhópolis;579,4;
MG;3114808;Carvalhos;506,24;
MG;3114907;Casa Grande;351,47;
MG;3115003;Cascalho Rico;769,71;
MG;3115102;Cássia;717,84;
MG;3115201;Conceição da Barra de Minas;511,91;
MG;3115300;Cataguases;699,57;
MG;3115359;Catas Altas;502,15;
MG;3115409;Catas Altas da Noruega;309,82;
MG;3115458;Catuji;221,41;
MG;3115474;Catuti;265,76;
MG;3115508;Caxambu;963,25;
MG;3115607;Cedro do Abaeté;431,2;
MG;3115706;Central de Minas;494,1;
MG;3115805;Centralina;468,15;
MG;3115904;Chácara;456,42;
MG;3116001;Chalé;418,8;
MG;3116100;Chapada do Norte;279,92;
MG;3116159;Chapada Gaúcha;282,53;
MG;3116209;Chiador;808,78;
MG;3116308;Cipotânea;317,62;
MG;3116407;Claraval;575,11;
MG;3116506;Claro dos Poções;337,07;
MG;3116605;Cláudio;625,88;
MG;3116704;Coimbra;454,81;
MG;3116803;Coluna;315;
MG;3116902;Comendador Gomes;635,2;
MG;3117009;Comercinho;271,4;
MG;3117108;Conceição da Aparecida;579,34;
MG;3117207;Conceição das Pedras;434,68;
MG;3117306;Conceição das Alagoas;770,02;
MG;3117405;Conceição de Ipanema;497,4;
MG;3117504;Conceição do Mato Dentro;384,42;
MG;3117603;Conceição do Pará;576,48;
MG;3117702;Conceição do Rio Verde;533,38;
MG;3117801;Conceição dos Ouros;509,52;
MG;3117836;Cônego Marinho;245,64;
MG;3117876;Confins;647,2;
MG;3117900;Congonhal;553,81;
MG;3118007;Congonhas;760,35;
MG;3118106;Congonhas do Norte;270,3;
MG;3118205;Conquista;678,21;
