RISP;TOTAL_CRIMES;latitude;longitude
12;15132;-19.482;-42.5279
4;13416;-21.7642;-43.3496
11;12012;-16.7286;-43.8578
17;11232;-22.23;-45.938
13;9516;-21.225;-43.7737
15;9360;-17.8576;-41.5059
8;9048;-18.8545;-41.9459
18;8580;-21.789;-46.5663
14;8112;-18.7573;-44.4303
7;7800;-20.1452;-44.8912
6;6864;-21.2475;-44.9997
5;4680;-19.7479;-47.9319
10;3588;-19.0003;-46.3162
2;2808;-19.7668;-44.0868
3;2808;-19.6944;-43.9237
9;2808;-18.9128;-48.2755
16;2652;-16.3595;-46.9067
19;2496;-19.4671;-44.2469
1;156;-19.9167;-43.9345
